"","InstNr","n()","min(moves)","max(moves)"
"1",1,25,22,22
"2",2,25,16,17
"3",3,25,22,23
"4",4,20,21,22
"5",5,25,16,16
"6",6,25,17,18
"7",7,25,19,20
"8",8,25,16,17
"9",9,25,12,12
"10",10,25,22,22
"11",11,25,23,26
"12",12,25,18,19
"13",13,25,19,19
"14",14,25,20,21
"15",15,20,21,24
"16",16,25,17,18
"17",17,25,21,23
"18",18,25,16,16
"19",19,20,21,21
"20",20,20,17,19
"21",21,25,17,17
"22",22,25,19,21
"23",23,25,17,19
"24",24,20,20,21
"25",25,25,19,20
"26",26,25,25,28
"27",27,25,19,20
"28",28,25,21,21
"29",29,20,21,21
"30",30,25,14,14
"31",31,25,24,24
"32",32,25,15,17
"33",33,25,22,23
"34",34,25,23,24
"35",35,25,17,18
"36",36,25,20,21
"37",37,25,17,18
"38",38,25,16,16
"39",39,25,15,17
"40",40,25,17,17
