"","H","W","InstNr","moves"
"1",6,6,1,31
"2",6,6,2,31
"3",6,6,3,34
"4",6,6,4,35
"5",6,6,5,32
"6",6,6,6,36
"7",6,6,7,32
"8",6,6,8,25
"9",6,6,9,27
"10",6,6,10,29
"11",6,6,11,32
"12",6,6,12,24
"13",6,6,13,28
"14",6,6,14,28
"15",6,6,15,34
"16",6,6,16,32
"17",6,6,17,29
"18",6,6,18,31
"19",6,6,19,32
"20",6,6,20,27
"21",6,6,21,29
"22",6,6,22,31
"23",6,6,23,35
"24",6,6,24,31
"25",6,6,25,27
"26",6,6,26,32
"27",6,6,27,36
"28",6,6,28,27
"29",6,6,29,37
"30",6,6,30,38
"31",6,6,31,35
"32",6,6,32,25
"33",6,6,33,28
"34",6,6,34,32
"35",6,6,35,32
"36",6,6,36,30
"37",6,6,37,29
"38",6,6,38,28
"39",6,6,39,36
"40",6,6,40,40
"41",6,10,1,50
"42",6,10,2,47
"43",6,10,3,48
"44",6,10,4,43
"45",6,10,5,44
"46",6,10,6,46
"47",6,10,7,54
"48",6,10,8,53
"49",6,10,9,40
"50",6,10,10,43
"51",6,10,11,46
"52",6,10,12,41
"53",6,10,13,42
"54",6,10,14,44
"55",6,10,15,51
"56",6,10,16,42
"57",6,10,17,46
"58",6,10,18,48
"59",6,10,19,50
"60",6,10,20,45
"61",6,10,21,0
"62",6,10,22,52
"63",6,10,23,44
"64",6,10,24,47
"65",6,10,25,43
"66",6,10,26,36
"67",6,10,27,45
"68",6,10,28,51
"69",6,10,29,46
"70",6,10,30,45
"71",6,10,31,48
"72",6,10,32,56
"73",6,10,33,47
"74",6,10,34,46
"75",6,10,35,36
"76",6,10,36,48
"77",6,10,37,45
"78",6,10,38,42
"79",6,10,39,51
"80",6,10,40,48
"81",10,6,1,95
"82",10,6,2,65
"83",10,6,3,83
"84",10,6,4,81
"85",10,6,5,74
"86",10,6,6,80
"87",10,6,7,86
"88",10,6,8,81
"89",10,6,9,87
"90",10,6,10,91
"91",10,6,11,68
"92",10,6,12,78
"93",10,6,13,79
"94",10,6,14,78
"95",10,6,15,67
"96",10,6,16,67
"97",10,6,17,72
"98",10,6,18,68
"99",10,6,19,78
"100",10,6,20,84
"101",10,6,21,67
"102",10,6,22,66
"103",10,6,23,61
"104",10,6,24,80
"105",10,6,25,87
"106",10,6,26,75
"107",10,6,27,86
"108",10,6,28,76
"109",10,6,29,75
"110",10,6,30,69
"111",10,6,31,83
"112",10,6,32,88
"113",10,6,33,77
"114",10,6,34,108
"115",10,6,35,85
"116",10,6,36,89
"117",10,6,37,67
"118",10,6,38,77
"119",10,6,39,65
"120",10,6,40,80
"121",10,10,1,109
"122",10,10,2,107
"123",10,10,3,106
"124",10,10,4,113
"125",10,10,5,116
"126",10,10,6,113
"127",10,10,7,117
"128",10,10,8,119
"129",10,10,9,116
"130",10,10,10,111
"131",10,10,11,110
"132",10,10,12,127
"133",10,10,13,94
"134",10,10,14,112
"135",10,10,15,117
"136",10,10,16,122
"137",10,10,17,134
"138",10,10,18,114
"139",10,10,19,111
"140",10,10,20,126
"141",10,10,21,115
"142",10,10,22,112
"143",10,10,23,106
"144",10,10,24,113
"145",10,10,25,120
"146",10,10,26,125
"147",10,10,27,118
"148",10,10,28,124
"149",10,10,29,115
"150",10,10,30,113
"151",10,10,31,117
"152",10,10,32,105
"153",10,10,33,119
"154",10,10,34,117
"155",10,10,35,116
"156",10,10,36,101
"157",10,10,37,117
"158",10,10,38,117
"159",10,10,39,112
"160",10,10,40,112
