Instance                  W    H  MaxH Blocks    Moves     c     time
../v3/data/data3-3-1.dat   3   3   5   9           6       1     0
../v3/data/data3-3-2.dat   3   3   5   9           5       1     0
../v3/data/data3-3-3.dat   3   3   5   9           2       1     0
../v3/data/data3-3-4.dat   3   3   5   9           4       1     0
../v3/data/data3-3-5.dat   3   3   5   9           1       1     0
../v3/data/data3-3-6.dat   3   3   5   9           6       1     0
../v3/data/data3-3-7.dat   3   3   5   9           6       1     0
../v3/data/data3-3-8.dat   3   3   5   9           2       1     0
../v3/data/data3-3-9.dat   3   3   5   9           7       1     0
../v3/data/data3-3-10.dat   3  3    5   9           5       1     0
../v3/data/data3-3-11.dat   3  3    5   9           3       1     0
../v3/data/data3-3-12.dat   3  3    5   9           5       1     0
../v3/data/data3-3-13.dat   3  3    5   9           8       1     0
../v3/data/data3-3-14.dat   3  3    5   9           7       1     0
../v3/data/data3-3-15.dat   3  3    5   9           6       1     0
../v3/data/data3-3-16.dat   3  3    5   9           7       1     0
../v3/data/data3-3-17.dat   3  3    5   9           5       1     0
../v3/data/data3-3-18.dat   3  3    5   9           2       1     0
../v3/data/data3-3-19.dat   3  3    5   9           8       1     0
../v3/data/data3-3-20.dat   3  3    5   9           7       1     0
../v3/data/data3-3-21.dat   3  3    5   9           7       1     0
../v3/data/data3-3-22.dat   3  3    5   9           4       1     0
../v3/data/data3-3-23.dat   3  3    5   9           6       1     0
../v3/data/data3-3-24.dat   3  3    5   9           6       1     0
../v3/data/data3-3-25.dat   3  3    5   9           4       1     0
../v3/data/data3-3-26.dat   3  3    5   9           4       1     0
../v3/data/data3-3-27.dat   3  3    5   9           5       1     0
../v3/data/data3-3-28.dat   3  3    5   9           5       1     0
../v3/data/data3-3-29.dat   3  3    5   9           7       1     0
../v3/data/data3-3-30.dat   3  3    5   9           6       1     0
../v3/data/data3-3-31.dat   3  3    5   9           5       1     0
../v3/data/data3-3-32.dat   3  3    5   9           2       1     0
../v3/data/data3-3-33.dat   3  3    5   9           3       1     0
../v3/data/data3-3-34.dat   3  3    5   9           6       1     0
../v3/data/data3-3-35.dat   3  3    5   9           5       1     0
../v3/data/data3-3-36.dat   3  3    5   9           7       1     0
../v3/data/data3-3-37.dat   3  3    5   9           5       1     0
../v3/data/data3-3-38.dat   3  3    5   9           4       1     0
../v3/data/data3-3-39.dat   3  3    5   9           0       1     0
../v3/data/data3-3-40.dat   3  3    5   9           7       1     0
../v3/data/data3-4-1.dat   4   3   5  12           5       1     0
../v3/data/data3-4-2.dat   4   3   5  12           3       1     0
../v3/data/data3-4-3.dat   4   3   5  12           7       1     0
../v3/data/data3-4-4.dat   4   3   5  12           5       1     0
../v3/data/data3-4-5.dat   4   3   5  12           6       1     0
../v3/data/data3-4-6.dat   4   3   5  12           7       1     0
../v3/data/data3-4-7.dat   4   3   5  12          10       1     0
../v3/data/data3-4-8.dat   4   3   5  12           6       1     0
../v3/data/data3-4-9.dat   4   3   5  12           4       1     0
../v3/data/data3-4-10.dat   4  3    5  12          10       1     0
../v3/data/data3-4-11.dat   4  3    5  12           7       1     0
../v3/data/data3-4-12.dat   4  3    5  12           7       1     0
../v3/data/data3-4-13.dat   4  3    5  12           3       1     0
../v3/data/data3-4-14.dat   4  3    5  12           7       1     0
../v3/data/data3-4-15.dat   4  3    5  12           5       1     0
../v3/data/data3-4-16.dat   4  3    5  12           8       1     0
../v3/data/data3-4-17.dat   4  3    5  12           6       1     0
../v3/data/data3-4-18.dat   4  3    5  12           8       1     0
../v3/data/data3-4-19.dat   4  3    5  12           6       1     0
../v3/data/data3-4-20.dat   4  3    5  12           5       1     0
../v3/data/data3-4-21.dat   4  3    5  12           7       1     0
../v3/data/data3-4-22.dat   4  3    5  12           6       1     0
../v3/data/data3-4-23.dat   4  3    5  12           4       1     0
../v3/data/data3-4-24.dat   4  3    5  12           6       1     0
../v3/data/data3-4-25.dat   4  3    5  12           7       1     0
../v3/data/data3-4-26.dat   4  3    5  12           4       1     0
../v3/data/data3-4-27.dat   4  3    5  12           2       1     0
../v3/data/data3-4-28.dat   4  3    5  12           7       1 0.012
../v3/data/data3-4-29.dat   4  3    5  12           9       1     0
../v3/data/data3-4-30.dat   4  3    5  12           6       1     0
../v3/data/data3-4-31.dat   4  3    5  12           7       1     0
../v3/data/data3-4-32.dat   4  3    5  12           7       1     0
../v3/data/data3-4-33.dat   4  3    5  12           9       1     0
../v3/data/data3-4-34.dat   4  3    5  12           7       1     0
../v3/data/data3-4-35.dat   4  3    5  12           5       1     0
../v3/data/data3-4-36.dat   4  3    5  12           8       1     0
../v3/data/data3-4-37.dat   4  3    5  12           3       1     0
../v3/data/data3-4-38.dat   4  3    5  12           5       1     0
../v3/data/data3-4-39.dat   4  3    5  12           6       1     0
../v3/data/data3-4-40.dat   4  3    5  12           7       1     0
../v3/data/data3-5-1.dat   5   3   5     15           6       2     0
../v3/data/data3-5-2.dat   5   3   5  15           7       2     0
../v3/data/data3-5-3.dat   5   3   5  15           8       2     0
